Time,Boiler Feedwater Flow Rate,Duct Burner Temperature,Economizer Chamber Temperature,Relative Humidity,Steam to Steam Header Temperature,Gas Turbine Vibration,Boiler Tube Temperature,Flowrate
2022-09-01 00:00:00,32.60093328,740.4270183,212.5118407,57.26531347,359.1468051,9.572966475,363.3413645,35.86111829
2022-09-01 00:01:00,32.57167708,740.4945012,212.5178991,57.21785636,359.1501598,9.623464529,363.2731245,35.81760629
2022-09-01 00:02:00,32.59607394,740.7080389,212.5678158,57.07710157,359.1520541,9.726262316,363.2257833,37.58487179
2022-09-01 00:03:00,32.57105915,741.1944764,212.6165858,56.91652101,359.1527188,9.678954377,363.2208039,38.58366329
2022-09-01 00:04:00,32.56986491,741.6538445,212.6210091,56.93518256,359.150545,9.67954137,363.1620737,35.21145179
2022-09-01 00:05:00,32.60570599,742.2248443,212.5984049,56.90956496,359.1464225,9.605482822,363.1422818,36.18127379
2022-09-01 00:06:00,32.6031005,742.4011672,212.5739243,56.72606714,359.1476787,9.599100439,363.1883955,36.96087779
2022-09-01 00:07:00,32.56235308,742.0841333,212.5849619,56.63143623,359.1500078,9.666026436,363.2097312,35.55343679
2022-09-01 00:08:00,32.57730763,741.7914097,212.6025767,56.51512671,359.1517368,9.701424589,363.1940529,36.37680479
2022-09-01 00:09:00,32.60713888,741.9616685,212.5874849,56.35816452,359.1512815,9.723603424,363.2085973,37.37202629
2022-09-01 00:10:00,32.56826039,742.2323546,212.5920533,56.32576091,359.1511913,9.678329097,363.1736457,35.96336729
2022-09-01 00:11:00,32.57378955,742.1269653,212.6108926,56.35529967,359.1525262,9.708219796,363.1375958,35.22512279
2022-09-01 00:12:00,32.58974069,741.8465042,212.6292781,56.51913417,359.1531715,9.794303253,363.1531191,37.61344229
2022-09-01 00:13:00,32.57490534,741.6972847,212.600701,56.26259507,359.1580279,9.716363456,363.1889601,37.28125379
2022-09-01 00:14:00,32.58511172,741.3439379,212.5955231,56.17980474,359.1630843,9.719598279,363.2424646,35.36179079
2022-09-01 00:15:00,32.60105231,740.6521608,212.6252908,56.10586796,359.1655178,9.748833967,363.246328,37.48344179
2022-09-01 00:16:00,32.598338,740.2111413,212.6653785,55.93695551,359.1546581,9.627146426,363.2037048,37.54714529
2022-09-01 00:17:00,32.59598154,740.1468395,212.6806326,55.71101618,359.1426166,9.583054731,363.2367083,35.81163179
2022-09-01 00:18:00,32.59840954,740.2554377,212.6812663,55.54898533,359.1390534,9.672519614,363.3298691,35.81613629
2022-09-01 00:19:00,32.60682745,740.3692529,212.7102256,55.51539917,359.1337259,9.559462007,363.2949091,36.16444229
2022-09-01 00:20:00,32.59203349,740.0949663,212.7359786,55.55056989,359.1357524,9.61637777,363.153323,37.03227779
2022-09-01 00:21:00,32.61174816,740.1494688,212.7387208,55.55953677,359.1427413,9.564206395,363.028734,38.44108379
2022-09-01 00:22:00,32.60985145,740.059843,212.755921,55.58477983,359.1499619,9.528443093,363.0225192,35.11438979
