Time,ANALOG.AN_T1_Temperature,ANALOG.AN_Ngp_SP,ANALOG.AN_Guide_Vane_Position,ANALOG.AN_Gen_kW_SP,ANALOG.AN_Lube_Oil_Header_Temp,ANALOG.AN_Lube_Oil_Header_Press,ANALOG.AN_Gen_Exc_V,ANALOG.AN_Guide_Vane_Force,ANALOG.AN_Gas_Fuel_Press,ANALOG.AN_Gen_AVR_SP,ANALOG.AN_SoloNox_T5_SP,ANALOG.AN_Gas_Fuel_Flow,ANALOG.AN_Main_Gas_Valve_Position
2022-09-01 5:10,17.8889,100.37,87.4038,13009.1348,62.6111,269.1607,29.6836,444.3688,2555.4798,13704.9248,743.3333,2676.24,59.391
2022-09-01 5:20,17.8333,100.3501,87.4038,13009.1348,62.6667,268.2768,30.0625,424.4987,2518.3542,13704.9248,743.3333,2646.5815,60
2022-09-01 5:30,17.0556,100.3149,87.3718,13009.1348,62.6111,266.5089,29.5605,373.9201,2462.6657,13704.9248,743.3333,2658.7937,61.25
2022-09-01 5:40,17.2222,100.3329,87.4038,13016.3467,62.6667,268.2768,29.2168,435.3369,2581.7772,13704.9248,743.3333,2754.7478,59.1026
2022-09-01 5:50,17.5,100.348,87.3718,13016.3467,62.6111,267.8348,30.0996,442.5625,2464.2126,13704.9248,743.3333,2641.3476,61.1538
2022-09-01 6:00,17.1111,100.3205,87.3718,13009.1348,62.6111,269.1607,30.748,397.403,2564.7612,13704.9248,743.3333,2756.4922,59.4551
2022-09-01 6:10,17.1111,100.3476,87.4038,13009.1348,62.6111,267.3928,29.1191,393.7903,2524.542,13704.9248,743.3333,2653.56,60.0641
2022-09-01 6:20,16.9444,100.3124,87.4038,13016.3467,62.6111,269.1607,31.9004,424.4987,2515.2605,13704.9248,743.3333,2725.0893,60.3846
2022-09-01 6:30,17.3333,100.3604,87.4038,13009.1348,62.6111,268.7188,33.0391,435.3369,2546.1983,13704.9248,743.3333,2679.7293,59.5833
2022-09-01 6:40,17.3333,100.3465,87.4038,13009.1348,62.6111,268.7188,29.8184,386.5648,2499.7915,13704.9248,743.3333,2690.1971,60.5449
2022-09-01 6:50,17.1111,100.361,87.4038,13016.3467,62.5556,268.2768,29.0098,375.7265,2543.1044,13704.9248,743.3333,2674.4954,59.6474
2022-09-01 7:00,16.8889,100.3413,87.4038,13016.3467,62.5556,267.8348,30.0879,386.5648,2598.7932,13704.9248,743.3333,2775.6832,58.7179
2022-09-01 7:10,16.8333,100.3171,87.4038,13016.3467,62.5556,268.2768,28.9473,402.8221,2468.8532,13704.9248,743.3333,2655.3046,61.25
2022-09-01 7:20,17,100.3393,87.4038,13016.3467,62.6111,267.8348,26.166,438.9497,2543.1044,13704.9248,743.3333,2756.4922,59.8718
2022-09-01 7:30,17.1667,100.3425,87.4038,13016.3467,62.5556,269.6027,30.2227,437.1433,2512.1666,13704.9248,743.3333,2644.8368,60.2564
2022-09-01 7:40,17.6667,100.3415,87.4038,13009.1348,62.6111,266.9508,31.1523,440.7561,2481.2286,13704.9248,743.3333,2667.5171,60.8654
2022-09-01 7:50,17.6667,100.3653,87.3718,13009.1348,62.6111,268.2768,29.916,364.8883,2569.4021,13704.9248,743.3333,2707.6432,59.1026
2022-09-01 8:00,17.5,100.3216,87.4038,13009.1348,62.5556,267.3928,30.9941,464.239,2567.8549,13704.9248,743.3333,2749.5139,59.1987
2022-09-01 8:10,17.2778,100.3529,87.3718,13009.1348,62.5556,266.9508,32.1934,391.9839,2586.4178,13704.9248,743.3333,2737.3017,58.8141
2022-09-01 8:20,17.6111,100.3415,87.4038,13009.1348,62.6111,266.5089,27.0254,462.4326,2467.3065,13704.9248,743.3333,2634.3693,60.9295
2022-09-01 8:30,17.5556,100.3615,87.3718,13009.1348,62.6111,268.7188,29.5352,455.2071,2561.6673,13704.9248,743.3333,2702.4093,58.9103
2022-09-01 8:40,17.7778,100.3647,87.4038,13016.3467,62.6111,267.8348,30.2578,473.2709,2518.3542,13704.9248,743.3333,2629.1354,59.8718
2022-09-01 8:50,18.2222,100.3652,87.4038,13009.1348,62.6111,268.7188,29.3145,449.788,2591.0584,13704.9248,743.3333,2739.0461,58.4936
2022-09-01 9:00,18.2778,100.3863,87.3718,13016.3467,62.6111,265.183,29.6953,364.8883,2532.2763,13704.9248,743.3333,2639.6032,59.4551
2022-09-01 9:10,18.5556,100.3916,87.3718,13009.1348,62.6111,267.8348,29.9277,357.6627,2560.1206,13704.9248,743.3333,2721.6,58.9423
2022-09-01 9:20,18.6667,100.3862,87.4038,13009.1348,62.6111,266.5089,29.4258,437.1433,2471.9471,13704.9248,743.3333,2618.6676,60.5449
2022-09-01 9:30,19,100.3804,87.4038,13016.3467,62.6667,266.5089,30.2227,408.2413,2495.1509,13704.9248,743.3333,2641.3476,60.0641
2022-09-01 9:40,18.9444,100.3955,87.4038,13009.1348,62.6111,268.7188,29.082,429.9178,2496.6976,13704.9248,743.3333,2672.7507,59.9679
